Fold,Alpha,kNN,Clase,Accuracy,Presicion,Recall,F1_score
5,20,2,0,0.998205741627,0.990303030303,0.991504854369,0.990903577926
5,20,2,1,0.998325358852,0.990384615385,0.994635193133,0.992505353319
5,20,2,2,0.995454545455,0.980606060606,0.973525872443,0.977053140097
5,20,2,3,0.989832535885,0.956725146199,0.944572748268,0.950610110401
5,20,2,4,0.992583732057,0.966376089664,0.956843403206,0.961586121437
5,20,2,5,0.993062200957,0.965287049399,0.95761589404,0.961436170213
5,20,2,6,0.996650717703,0.976076555024,0.990291262136,0.98313253012
5,20,2,7,0.992942583732,0.964772727273,0.968072976055,0.966420034149
5,20,2,8,0.990789473684,0.954037267081,0.950495049505,0.952262864228
5,20,2,9,0.987081339713,0.927895981087,0.943509615385,0.935637663886
5,20,2,average,0.993492822967,0.967246452202,0.967106686854,0.967154756578
5,20,3,0,0.99868468253,0.993917274939,0.992709599028,0.993313069909
5,20,3,1,0.997847662322,0.98826040555,0.992497320472,0.990374331551
5,20,3,2,0.995456176013,0.977163461538,0.977163461538,0.977163461538
5,20,3,3,0.991031926342,0.965922444183,0.947004608295,0.956369982548
5,20,3,4,0.993782135597,0.972568578554,0.962962962963,0.967741935484
5,20,3,5,0.993662561282,0.965471447543,0.964190981432,0.964830789648
5,20,3,6,0.996771493483,0.977272727273,0.990303030303,0.983744732089
5,20,3,7,0.994260432859,0.972602739726,0.972602739726,0.972602739726
5,20,3,8,0.992347243812,0.965043695381,0.955500618047,0.960248447205
5,20,3,9,0.988760014349,0.933177022274,0.955582232893,0.944246737841
5,20,3,average,0.994260432859,0.971139979696,0.97105175547,0.971063622754
5,20,4,0,0.998445162062,0.990303030303,0.993917274939,0.992106860959
5,20,4,1,0.997966750389,0.987220447284,0.994635193133,0.990913949759
5,20,4,2,0.995813897859,0.981862152358,0.975961538462,0.978902953586
5,20,4,3,0.9915081928,0.966002344666,0.951501154734,0.958696916812
5,20,4,4,0.993900251166,0.973782771536,0.962962962963,0.96834264432
