Fold,Alpha,kNN,Clase,Accuracy,Presicion,Recall,F1_score
5,20,20,0,0.997261904762,0.98313253012,0.989090909091,0.986102719033
5,20,20,1,0.995119047619,0.968619246862,0.98826040555,0.978341257264
5,20,20,2,0.993333333333,0.973268529769,0.959281437126,0.966224366707
5,20,20,3,0.98869047619,0.955346650999,0.934482758621,0.944799535154
5,20,20,4,0.992261904762,0.97106918239,0.948402948403,0.959602237415
5,20,20,5,0.99130952381,0.952631578947,0.951379763469,0.952005259698
5,20,20,6,0.995476190476,0.965761511216,0.989117291415,0.977299880526
5,20,20,7,0.9925,0.96583143508,0.962542565267,0.964184195566
5,20,20,8,0.989047619048,0.951188986233,0.934809348093,0.942928039702
5,20,20,9,0.985952380952,0.917537746806,0.943847072879,0.93050647821
5,20,20,average,0.992095238095,0.960438739842,0.960121449991,0.960199396927
